AverageFloorArea,Year/Quarter,Property Type,EnergyUseAveragePerDwelling,CarbonDioxideEmissionsAveragePerDwelling,LightingCostAveragePerDwelling,HeatingCostAveragePerDwelling,HotWaterCostAveragePerDwelling
31.0,2,5,408.0,2.0,38.0,416.0,75.0
31.0,3,1,449.0,2.0,58.0,459.0,71.0
31.0,3,5,428.0,2.0,32.0,621.0,165.0
31.0,4,1,247.0,2.0,32.0,426.0,84.0
31.0,4,5,303.0,2.0,25.0,479.0,117.0
32.0,1,1,417.0,2.0,30.0,424.0,83.0
32.0,1,5,365.0,2.0,32.0,535.5,97.0
32.0,2,1,457.0,2.0,28.0,517.0,80.0
32.0,2,2,434.0,2.0,49.0,416.0,211.0
32.0,2,4,250.5,1.0,27.5,294.5,64.0
32.0,2,5,329.5,1.5,35.0,387.5,140.0
32.0,3,1,355.6666666666667,1.6666666666666667,34.666666666666664,365.0,82.66666666666667
32.0,3,5,371.4,1.8,35.4,526.8,121.4
32.0,4,5,363.6666666666667,2.0,38.666666666666664,679.6666666666666,175.0
33.0,1,1,330.0,1.5,33.5,322.5,76.0
33.0,1,2,302.0,1.0,52.0,321.0,144.0
33.0,1,4,298.3333333333333,1.3333333333333333,29.666666666666668,322.3333333333333,91.0
33.0,1,5,328.25,2.0,45.0,589.5,136.5
33.0,2,1,457.0,2.0,49.0,534.0,109.0
33.0,2,5,317.3333333333333,1.3333333333333333,39.0,528.3333333333334,115.66666666666667
33.0,3,4,198.0,1.0,50.0,309.0,86.0
33.0,3,5,340.6666666666667,1.6666666666666667,30.666666666666668,723.3333333333334,167.66666666666666
33.0,4,5,387.0,2.0,31.0,694.0,110.0
34.0,1,4,268.0,1.0,34.0,317.0,85.0
34.0,1,5,298.0,1.0,40.0,363.0,76.0
34.0,2,5,452.0,2.0,43.0,843.0,175.0
34.0,3,4,330.0,1.0,34.0,396.0,112.0
34.0,3,5,342.3333333333333,2.0,31.666666666666668,532.6666666666666,122.66666666666667
34.0,4,1,233.0,1.0,35.0,218.0,90.0
34.0,4,4,328.0,1.0,52.0,497.0,70.0
34.0,4,5,435.0,2.0,49.0,678.0,168.0
35.0,1,5,312.1666666666667,1.6666666666666667,39.666666666666664,450.8333333333333,108.66666666666667
35.0,2,1,280.0,1.0,34.5,342.0,73.0
35.0,2,4,380.5,2.0,43.25,443.75,100.0
35.0,2,5,361.0,2.0,39.0,627.0,123.0
35.0,3,1,255.0,1.0,40.0,307.0,61.0
35.0,3,5,261.0,2.0,62.0,345.0,129.0
35.0,4,4,181.0,2.0,75.0,352.0,105.0
35.0,4,5,255.0,1.0,36.0,650.0,191.0
36.0,1,2,308.0,1.0,28.0,280.0,110.0
36.0,1,4,217.0,2.0,32.0,237.0,95.0
36.0,1,5,406.1666666666667,2.1666666666666665,53.5,665.1666666666666,117.33333333333333
36.0,2,1,369.0,2.0,39.0,459.0,98.0
36.0,2,4,385.5,2.0,35.5,499.5,130.5
36.0,2,5,312.3333333333333,1.6666666666666667,36.0,476.6666666666667,142.0
36.0,3,2,366.0,2.0,36.0,308.0,164.0
36.0,3,4,337.0,2.0,28.0,388.0,143.0
36.0,3,5,325.25,2.0,52.75,590.25,137.75
36.0,4,1,396.0,2.0,40.0,468.0,61.0
36.0,4,5,438.0,2.0,36.0,544.0,75.0
37.0,1,1,426.5,2.5,49.0,487.5,79.0
37.0,1,4,290.0,1.0,62.0,357.0,91.0
37.0,1,5,293.8333333333333,1.6666666666666667,46.0,425.1666666666667,91.5
37.0,2,1,365.0,2.3333333333333335,42.0,432.3333333333333,99.33333333333333
37.0,2,2,451.0,2.0,45.0,401.5,147.0
37.0,2,4,319.6666666666667,1.3333333333333333,40.0,370.0,112.0
37.0,2,5,262.5,1.5,37.0,506.5,134.5
37.0,3,1,273.0,1.0,37.0,342.0,107.0
37.0,3,2,451.0,2.0,47.0,355.0,137.0
37.0,3,4,293.0,1.5,45.5,389.5,102.0
37.0,3,5,364.75,2.0,40.75,568.0,84.0
37.0,4,4,229.0,1.0,40.5,320.0,68.0
37.0,4,5,296.5,1.5,53.5,374.0,67.5
38.0,1,1,254.0,1.0,66.0,284.0,89.0
38.0,1,4,413.0,2.0,45.0,467.0,152.0
38.0,1,5,333.42857142857144,2.0,41.57142857142857,686.1428571428571,152.42857142857142
38.0,2,2,294.5,1.0,37.5,272.5,170.0
38.0,2,4,261.0,1.75,43.25,331.0,104.75
38.0,2,5,317.8,2.0,47.0,449.8,114.4
38.0,3,2,289.0,1.5,43.0,359.5,120.0
38.0,3,4,321.0,1.5,42.75,345.75,107.5
38.0,3,5,299.85714285714283,1.7142857142857142,45.714285714285715,542.1428571428571,125.0
38.0,4,1,338.0,2.0,45.0,415.0,92.0
38.0,4,2,317.5,1.5,50.5,309.0,137.5
38.0,4,4,202.5,1.0,49.0,217.0,108.5
38.0,4,5,340.6666666666667,1.6666666666666667,37.333333333333336,701.6666666666666,148.33333333333334
39.0,1,2,414.0,1.0,45.0,336.0,132.0
39.0,1,5,315.0,2.0,54.0,719.0,136.0
39.0,2,4,387.0,3.0,48.0,510.0,95.0
39.0,2,5,387.5,2.5,44.5,689.75,92.75
39.0,3,1,352.0,2.0,42.0,389.0,82.0
39.0,3,2,426.0,2.0,35.0,410.0,182.0
39.0,3,4,256.0,1.0,23.0,353.0,75.0
39.0,3,5,330.0,2.25,38.25,718.0,167.0
39.0,4,1,407.0,2.0,29.0,417.0,112.0
39.0,4,2,359.5,2.0,48.5,360.5,140.0
39.0,4,4,284.25,1.5,36.5,378.25,78.5
39.0,4,5,408.75,2.5,52.5,610.25,146.0
40.0,1,2,206.0,1.0,44.0,275.0,123.0
40.0,1,4,440.0,3.0,55.0,481.5,128.0
40.0,1,5,340.2,2.2,57.0,577.6,132.2
40.0,2,1,303.0,1.5,32.5,323.0,67.5
40.0,2,2,325.0,2.0,37.666666666666664,397.6666666666667,128.66666666666666
40.0,2,3,411.0,2.0,36.0,549.0,62.0
40.0,2,4,313.0,1.6666666666666667,36.0,308.6666666666667,118.33333333333333
40.0,2,5,402.3333333333333,3.0,46.333333333333336,543.6666666666666,127.0
40.0,3,1,375.0,2.0,31.0,468.0,146.0
40.0,3,4,427.5,3.0,39.0,442.0,126.0
40.0,3,5,346.1666666666667,2.5,56.166666666666664,589.3333333333334,133.0
40.0,4,1,279.0,1.5,43.5,349.0,85.0
40.0,4,2,362.0,2.0,44.0,383.5,159.5
40.0,4,4,382.5,1.5,35.5,331.5,87.0
40.0,4,5,269.25,1.75,47.0,590.75,151.5
41.0,1,1,376.0,2.0,21.0,443.0,67.0
41.0,1,4,352.3333333333333,2.3333333333333335,44.0,444.0,182.66666666666666
41.0,1,5,255.5,2.0,37.0,694.0,196.0
41.0,2,4,298.0,1.6666666666666667,38.0,379.0,116.66666666666667
41.0,2,5,327.75,2.25,42.75,616.75,142.0
41.0,3,1,368.6666666666667,2.3333333333333335,44.0,448.0,91.66666666666667
41.0,3,2,446.0,2.0,48.0,565.0,163.0
41.0,3,4,288.0,2.0,41.5,389.5,118.75
41.0,3,5,358.1666666666667,2.3333333333333335,48.333333333333336,633.1666666666666,152.66666666666666
41.0,4,2,313.75,1.5,39.5,290.25,141.5
41.0,4,4,292.4,2.2,49.0,393.0,92.0
41.0,4,5,288.25,1.75,54.25,496.75,103.25
42.0,1,1,291.0,2.0,25.0,432.0,66.0
42.0,1,2,314.25,1.75,46.5,370.0,149.0
42.0,1,4,368.0,2.5,38.75,334.5,114.75
42.0,1,5,349.625,2.5,50.875,649.125,152.0
42.0,2,2,361.0,2.0,43.0,336.0,124.0
42.0,2,4,230.0,1.5,45.166666666666664,298.6666666666667,93.83333333333333
42.0,2,5,319.2307692307692,2.0,48.0,656.0,143.69230769230768
42.0,3,1,355.25,2.0,40.5,478.75,110.25
42.0,3,2,327.25,2.0,45.5,399.5,131.75
42.0,3,4,346.6666666666667,2.0,43.0,368.0,98.0
42.0,3,5,296.85714285714283,2.2857142857142856,41.142857142857146,558.4285714285714,152.42857142857142
42.0,4,1,344.0,2.0,39.0,413.0,107.5
42.0,4,2,302.8,1.6,40.6,344.8,125.8
42.0,4,4,322.3,1.8,41.1,357.3,105.1
42.0,4,5,328.0,2.3333333333333335,51.333333333333336,584.5,130.33333333333334
43.0,1,1,342.5,2.0,56.5,444.5,120.5
43.0,1,2,357.3333333333333,2.1666666666666665,45.5,405.3333333333333,137.66666666666666
43.0,1,4,371.8,2.2,38.4,383.8,140.0
43.0,1,5,328.1818181818182,2.272727272727273,47.27272727272727,565.7272727272727,134.63636363636363
43.0,2,1,350.0,2.5,51.0,465.5,125.5
43.0,2,2,358.3333333333333,2.111111111111111,42.44444444444444,383.8888888888889,139.77777777777777
43.0,2,4,345.25,2.0,39.25,382.0,102.5
43.0,2,5,281.0,2.0,45.333333333333336,681.6666666666666,188.66666666666666
43.0,3,1,387.0,3.0,30.0,464.0,144.0
43.0,3,2,277.75,1.75,46.75,320.0,129.5
43.0,3,4,343.0,2.0,59.25,443.25,142.0
43.0,3,5,300.2857142857143,2.142857142857143,48.857142857142854,622.7142857142857,157.42857142857142
43.0,4,1,360.0,2.0,42.333333333333336,534.0,100.66666666666667
43.0,4,2,296.3333333333333,1.5,45.833333333333336,364.6666666666667,118.33333333333333
43.0,4,4,357.0,2.142857142857143,45.285714285714285,419.14285714285717,114.0
43.0,4,5,377.5,2.5,55.0,592.75,124.25
44.0,1,1,326.75,1.875,41.5,438.375,99.5
44.0,1,2,318.2307692307692,1.7692307692307692,43.30769230769231,354.6923076923077,133.84615384615384
44.0,1,4,319.0,2.0,42.0,437.0,194.0
44.0,1,5,322.125,2.25,57.625,720.75,157.75
44.0,2,1,373.5,2.5,35.5,485.0,92.5
44.0,2,2,351.25,2.0,41.75,396.75,136.75
44.0,2,4,300.8333333333333,1.6666666666666667,46.0,353.8333333333333,118.83333333333333
44.0,2,5,359.6,2.6,45.0,588.0,118.8
44.0,3,1,408.0,2.5,54.0,607.5,91.0
44.0,3,2,300.1666666666667,1.5833333333333333,45.916666666666664,350.8333333333333,127.33333333333333
44.0,3,4,349.5,2.25,43.916666666666664,353.4166666666667,118.75
44.0,3,5,292.0,2.0,52.5,437.0,77.0
44.0,4,1,251.0,1.5,32.0,374.0,70.5
44.0,4,2,331.2,2.0,45.4,386.6,130.9
44.0,4,4,319.0,1.8,39.4,450.0,114.6
44.0,4,5,322.2,2.0,54.0,510.2,92.2
45.0,1,1,308.0,2.0,42.25,463.75,89.25
45.0,1,2,350.2631578947368,2.0526315789473686,45.73684210526316,387.0,141.26315789473685
45.0,1,4,344.55555555555554,2.3333333333333335,41.666666666666664,379.77777777777777,129.0
45.0,1,5,293.6666666666667,2.3333333333333335,57.333333333333336,603.6666666666666,127.33333333333333
45.0,2,1,272.0,2.0,40.0,404.5,74.5
45.0,2,2,314.8333333333333,1.8888888888888888,43.55555555555556,367.3888888888889,132.55555555555554
45.0,2,4,293.8,1.8,48.5,385.8,120.1
45.0,2,5,330.25,2.5,45.5,647.75,106.75
45.0,3,1,337.0,2.0,36.666666666666664,453.3333333333333,100.0
45.0,3,2,323.09090909090907,2.0454545454545454,45.90909090909091,383.09090909090907,135.1818181818182
45.0,3,4,297.8333333333333,1.8333333333333333,43.5,347.5,112.66666666666667
45.0,3,5,357.75,2.875,48.125,587.875,131.75
45.0,4,1,298.6666666666667,2.0,42.0,418.3333333333333,125.33333333333333
45.0,4,2,322.0833333333333,1.9583333333333333,47.208333333333336,394.8333333333333,141.75
45.0,4,4,275.0,2.0,55.666666666666664,385.0,103.66666666666667
45.0,4,5,264.0,2.0,54.666666666666664,574.3333333333334,158.33333333333334
46.0,1,1,332.875,2.25,48.25,439.75,114.875
46.0,1,2,317.1714285714286,1.8,47.114285714285714,375.6,138.31428571428572
46.0,1,4,291.6666666666667,1.9166666666666667,48.0,440.25,105.83333333333333
46.0,1,5,394.14285714285717,3.0,56.285714285714285,789.8571428571429,146.42857142857142
46.0,2,1,305.5,2.25,55.75,439.5,103.25
46.0,2,2,318.3333333333333,2.066666666666667,46.43333333333333,386.1,136.46666666666667
46.0,2,4,342.90909090909093,2.272727272727273,47.36363636363637,414.1818181818182,114.81818181818181
46.0,2,5,325.25,2.25,51.0,647.625,140.25
46.0,3,1,325.0,2.0,61.5,473.5,73.5
46.0,3,2,314.0,1.9,47.86666666666667,388.4,136.23333333333332
46.0,3,4,282.7142857142857,1.8571428571428572,47.285714285714285,383.07142857142856,111.57142857142857
46.0,3,5,296.6,2.4,51.6,635.0,146.4
46.0,4,1,331.5,2.2,42.5,448.7,106.7
46.0,4,2,315.7560975609756,1.9268292682926829,47.02439024390244,391.6829268292683,132.14634146341464
46.0,4,3,325.0,2.0,53.0,485.0,181.0
46.0,4,4,367.46666666666664,2.4,42.86666666666667,396.3333333333333,126.06666666666666
46.0,4,5,336.875,2.375,51.875,652.125,140.75
47.0,1,1,323.75,2.0,46.25,448.75,106.25
47.0,1,2,310.27272727272725,1.9393939393939394,46.515151515151516,365.72727272727275,138.04545454545453
47.0,1,4,307.0,1.9285714285714286,46.142857142857146,395.07142857142856,119.64285714285714
47.0,1,5,337.6666666666667,2.3333333333333335,55.5,623.8333333333334,129.16666666666666
47.0,2,1,286.0,2.0,47.5,456.0,81.5
47.0,2,2,313.2368421052632,2.026315789473684,47.1578947368421,391.7631578947368,139.07894736842104
47.0,2,4,328.8666666666667,2.2666666666666666,48.8,415.1333333333333,131.86666666666667
47.0,2,5,309.6,2.2,44.6,478.8,121.0
47.0,3,1,302.6666666666667,2.0,52.333333333333336,406.6666666666667,86.66666666666667
47.0,3,2,330.1489361702128,2.0425531914893615,47.53191489361702,404.0,143.38297872340425
47.0,3,4,290.2142857142857,2.0714285714285716,47.785714285714285,400.0,131.71428571428572
47.0,3,5,291.4,2.2,58.2,625.2,131.4
47.0,4,1,354.0,2.3333333333333335,40.0,456.3333333333333,121.0
47.0,4,2,316.719298245614,1.9473684210526316,46.50877192982456,378.49122807017545,133.98245614035088
47.0,4,4,344.9166666666667,2.25,45.583333333333336,433.0833333333333,132.33333333333334
47.0,4,5,312.0,2.125,56.75,657.75,148.875
48.0,1,1,330.6666666666667,2.3333333333333335,40.0,458.5,95.5
48.0,1,2,311.11764705882354,2.023529411764706,48.27058823529412,394.3058823529412,135.89411764705883
48.0,1,4,291.8421052631579,1.9473684210526316,49.94736842105263,389.1578947368421,116.21052631578948
48.0,1,5,303.1111111111111,2.3333333333333335,55.22222222222222,625.3333333333334,149.33333333333334
48.0,2,1,339.4,2.4,51.8,464.2,109.0
48.0,2,2,311.07246376811594,1.9565217391304348,47.08695652173913,391.6231884057971,131.6086956521739
48.0,2,4,287.25,1.8928571428571428,47.857142857142854,370.64285714285717,120.67857142857143
48.0,2,5,334.4,2.2,60.8,581.6,111.0
48.0,3,1,349.5,2.5,48.833333333333336,484.8333333333333,88.5
48.0,3,2,306.7230769230769,2.0,48.07692307692308,385.5692307692308,134.27692307692308
48.0,3,4,315.52941176470586,2.3529411764705883,51.294117647058826,436.6470588235294,118.6470588235294
48.0,3,5,367.14285714285717,2.7142857142857144,56.142857142857146,647.8571428571429,115.42857142857143
48.0,4,1,295.1,1.7,44.4,387.9,87.4
48.0,4,2,324.64367816091954,2.057471264367816,46.333333333333336,387.41379310344826,136.367816091954
48.0,4,4,299.125,2.0,49.4375,417.1875,114.3125
48.0,4,5,294.8333333333333,2.3333333333333335,65.66666666666667,602.5,158.16666666666666
49.0,1,1,328.75,2.25,42.25,472.25,103.25
49.0,1,2,314.5232558139535,2.0813953488372094,48.69767441860465,392.5581395348837,135.27906976744185
49.0,1,4,310.0,2.238095238095238,49.80952380952381,424.6666666666667,124.0
49.0,1,5,315.0,2.5,47.0,745.8333333333334,157.66666666666666
49.0,2,1,319.2,2.6,45.2,517.2,114.4
49.0,2,2,302.6363636363636,1.990909090909091,48.96363636363636,380.75454545454545,132.9181818181818
49.0,2,4,314.42857142857144,2.107142857142857,52.82142857142857,418.10714285714283,127.03571428571429
49.0,2,5,349.75,3.0,62.25,681.25,150.25
49.0,3,1,315.25,2.25,43.25,478.0,87.25
49.0,3,2,296.4201680672269,1.9915966386554622,49.252100840336134,382.98319327731093,131.96638655462183
49.0,3,4,263.52941176470586,1.7647058823529411,51.05882352941177,350.05882352941177,112.58823529411765
49.0,3,5,302.25,2.5,59.25,564.5,121.5
49.0,4,1,326.5,2.25,42.5,522.25,122.0
49.0,4,2,303.74264705882354,1.9926470588235294,47.75,374.625,131.18382352941177
49.0,4,3,299.0,2.0,36.0,222.0,111.0
49.0,4,4,295.04761904761904,2.0952380952380953,49.857142857142854,418.04761904761904,124.04761904761905
49.0,4,5,350.75,3.0,52.75,721.5,163.5
50.0,1,1,332.2857142857143,2.142857142857143,47.857142857142854,512.7142857142857,119.57142857142857
50.0,1,2,302.03125,2.0625,50.24107142857143,389.41517857142856,134.57142857142858
50.0,1,4,314.6341463414634,2.1951219512195124,49.926829268292686,443.0975609756098,122.92682926829268
50.0,1,5,302.8333333333333,2.6666666666666665,56.166666666666664,593.1666666666666,111.0
50.0,2,1,314.4,2.0,46.4,443.0,109.2
50.0,2,2,301.8791208791209,2.0549450549450547,50.0,386.7362637362637,134.25824175824175
50.0,2,4,335.58620689655174,2.3448275862068964,53.13793103448276,431.44827586206895,140.27586206896552
50.0,2,5,284.0,2.2,50.8,651.6,146.4
50.0,3,1,294.0,2.0,46.22222222222222,430.55555555555554,102.11111111111111
50.0,3,2,293.23952095808386,1.9820359281437125,49.8502994011976,374.70059880239523,133.4311377245509
50.0,3,4,293.1111111111111,1.9333333333333333,51.13333333333333,429.5777777777778,117.4
50.0,3,5,305.22222222222223,2.4444444444444446,63.0,621.7777777777778,135.55555555555554
50.0,4,1,320.5,2.125,41.25,465.875,106.0
50.0,4,2,302.1890756302521,2.0252100840336134,48.84873949579832,380.2226890756302,132.45378151260505
50.0,4,4,299.1034482758621,2.0689655172413794,52.10344827586207,394.7586206896552,123.62068965517241
50.0,4,5,341.8181818181818,2.6363636363636362,65.0,707.3636363636364,139.0909090909091
51.0,1,1,298.1666666666667,2.1666666666666665,46.333333333333336,452.0,106.5
51.0,1,2,302.93538461538463,2.0646153846153847,51.206153846153846,388.24615384615385,136.24
51.0,1,4,309.175,2.225,53.225,444.8,123.85
51.0,1,5,315.75,2.5,49.75,617.0,140.0
51.0,2,1,285.44444444444446,2.0,46.111111111111114,429.77777777777777,119.77777777777777
51.0,2,2,301.59272727272725,2.069090909090909,50.665454545454544,392.67636363636365,135.02545454545455
51.0,2,4,313.0810810810811,2.2432432432432434,52.432432432432435,440.05405405405406,131.02702702702703
51.0,2,5,257.3333333333333,2.0,55.333333333333336,560.6666666666666,122.33333333333333
51.0,3,1,303.2,2.6,48.4,483.4,98.8
51.0,3,2,289.0318725099602,2.0,50.97609561752988,382.31474103585657,133.20717131474103
51.0,3,4,299.43333333333334,2.2,51.833333333333336,439.1666666666667,127.53333333333333
51.0,3,5,384.0,3.25,64.0,776.75,120.75
51.0,4,1,283.14285714285717,2.142857142857143,48.714285714285715,466.85714285714283,85.71428571428571
51.0,4,2,301.3636363636364,2.0595611285266457,50.68652037617555,387.1065830721003,134.77742946708463
51.0,4,4,317.64285714285717,2.357142857142857,53.38095238095238,460.9047619047619,123.30952380952381
51.0,4,5,335.45454545454544,3.0,59.18181818181818,623.0909090909091,126.81818181818181
52.0,1,1,360.8888888888889,2.6666666666666665,49.888888888888886,508.1111111111111,120.66666666666667
52.0,1,2,295.36684782608694,2.057065217391304,51.54347826086956,393.4402173913044,134.9076086956522
52.0,1,4,323.6521739130435,2.4130434782608696,53.93478260869565,469.0652173913044,134.8913043478261
52.0,1,5,315.8333333333333,2.3333333333333335,65.33333333333333,743.3333333333334,148.83333333333334
52.0,2,1,345.625,2.375,47.875,483.875,115.375
52.0,2,2,292.3101449275362,2.055072463768116,51.15942028985507,382.21159420289854,132.33333333333334
52.0,2,4,293.77777777777777,2.185185185185185,53.31481481481482,430.27777777777777,119.0925925925926
52.0,2,5,289.8,2.4,62.2,773.0,154.8
52.0,3,1,297.0,2.375,50.75,471.875,110.75
52.0,3,2,291.44126984126984,2.0317460317460316,51.93015873015873,388.45396825396824,132.83174603174604
52.0,3,4,315.27777777777777,2.2777777777777777,53.907407407407405,446.3703703703704,130.05555555555554
52.0,3,5,319.42857142857144,2.5714285714285716,69.28571428571429,614.4285714285714,122.14285714285714
52.0,4,1,311.0,2.3333333333333335,44.6,496.06666666666666,96.66666666666667
52.0,4,2,292.82307692307694,2.056410256410256,50.91794871794872,381.0128205128205,133.83846153846153
52.0,4,4,297.75409836065575,2.180327868852459,53.31147540983606,414.88524590163934,125.93442622950819
52.0,4,5,315.0,2.25,72.0,679.5,126.5
53.0,1,1,311.4117647058824,2.2941176470588234,53.588235294117645,481.7647058823529,112.70588235294117
53.0,1,2,297.3066361556064,2.102974828375286,52.578947368421055,396.86727688787187,136.64302059496566
53.0,1,4,311.7352941176471,2.2794117647058822,53.38235294117647,444.2352941176471,124.73529411764706
53.0,1,5,280.8,2.2,64.0,594.6,130.4
53.0,2,1,299.72727272727275,2.1818181818181817,52.54545454545455,464.8181818181818,99.36363636363636
53.0,2,2,290.9744245524297,2.079283887468031,52.55498721227622,396.2531969309463,133.73401534526855
53.0,2,4,301.33846153846156,2.3384615384615386,51.47692307692308,436.75384615384615,125.86153846153846
53.0,2,5,292.5,2.75,56.875,635.0,149.125
53.0,3,1,345.1818181818182,2.6363636363636362,49.27272727272727,523.7272727272727,114.0909090909091
53.0,3,2,284.08029197080293,2.0389294403892944,53.11678832116788,392.9172749391727,133.54744525547446
53.0,3,4,297.6511627906977,2.3255813953488373,52.093023255813954,455.8139534883721,124.3953488372093
53.0,3,5,239.6,2.0,57.0,658.6,138.0
53.0,4,1,328.15384615384613,2.6153846153846154,48.84615384615385,508.61538461538464,108.84615384615384
53.0,4,2,292.92601431980904,2.1026252983293556,52.15513126491647,392.83054892601433,133.27923627684964
53.0,4,4,286.7857142857143,2.1,50.91428571428571,402.0285714285714,119.3
53.0,4,5,273.6666666666667,2.6666666666666665,46.333333333333336,527.0,121.0
54.0,1,1,312.9230769230769,2.3846153846153846,50.69230769230769,492.53846153846155,107.92307692307692
54.0,1,2,292.6797520661157,2.115702479338843,54.19421487603306,405.448347107438,137.86363636363637
54.0,1,4,302.05970149253733,2.3134328358208953,54.3134328358209,441.3731343283582,130.13432835820896
54.0,1,5,296.5,2.25,65.25,670.3333333333334,139.0
54.0,2,1,324.0,2.3333333333333335,47.666666666666664,522.6666666666666,113.66666666666667
54.0,2,2,292.00771208226223,2.1439588688946016,53.73778920308483,400.96915167095113,134.61696658097685
54.0,2,4,298.2191780821918,2.3013698630136985,54.87671232876713,449.86301369863014,126.72602739726027
54.0,2,5,300.55555555555554,2.5555555555555554,60.22222222222222,641.1111111111111,135.44444444444446
54.0,3,1,308.45454545454544,2.6363636363636362,47.63636363636363,507.8181818181818,115.63636363636364
54.0,3,2,286.1122194513716,2.1321695760598502,54.0498753117207,405.96758104738154,135.21695760598504
54.0,3,4,284.7076923076923,2.1076923076923078,55.646153846153844,421.2769230769231,122.44615384615385
54.0,3,5,323.25,2.875,56.125,703.125,143.625
54.0,4,1,336.77777777777777,2.7777777777777777,45.22222222222222,460.55555555555554,116.55555555555556
54.0,4,2,289.48497854077254,2.0944206008583692,52.56008583690987,394.16738197424894,131.0107296137339
54.0,4,4,297.1392405063291,2.278481012658228,53.40506329113924,439.67088607594934,119.73417721518987
54.0,4,5,340.75,3.0,70.0,805.0,148.0
55.0,1,1,349.45454545454544,2.8181818181818183,48.81818181818182,500.72727272727275,114.18181818181819
55.0,1,2,294.38669950738915,2.165024630541872,55.110837438423644,418.95320197044333,136.1551724137931
55.0,1,4,298.2421052631579,2.3263157894736843,55.68421052631579,447.33684210526314,130.16842105263157
55.0,1,5,371.0,3.5,68.66666666666667,739.1666666666666,142.16666666666666
55.0,2,1,310.06666666666666,2.466666666666667,53.733333333333334,503.1333333333333,112.73333333333333
55.0,2,2,286.85539215686276,2.1176470588235294,54.161764705882355,403.77941176470586,132.8700980392157
55.0,2,4,306.92753623188406,2.4782608695652173,55.46376811594203,451.6811594202899,131.08695652173913
55.0,2,5,307.8,2.6,60.0,683.8,121.0
55.0,3,1,315.7,2.3,52.0,511.1,106.4
55.0,3,2,285.2853717026379,2.1390887290167866,55.52038369304557,411.9904076738609,135.10791366906474
55.0,3,4,297.1666666666667,2.2777777777777777,54.129629629629626,436.24074074074076,123.0925925925926
55.0,3,5,311.1666666666667,2.6666666666666665,72.0,682.3333333333334,130.0
55.0,4,1,305.85,2.4,50.3,511.25,108.75
55.0,4,2,292.3785046728972,2.1985981308411215,54.50934579439252,412.0210280373832,135.67056074766356
55.0,4,4,299.84415584415586,2.324675324675325,54.20779220779221,451.93506493506493,125.57142857142857
55.0,4,5,320.0,3.0,76.0,732.0,156.0
56.0,1,1,297.72727272727275,2.3636363636363638,54.18181818181818,499.45454545454544,106.22727272727273
56.0,1,2,291.86507936507934,2.2169312169312168,56.2962962962963,424.8862433862434,137.47619047619048
56.0,1,4,310.9896907216495,2.463917525773196,57.16494845360825,463.9896907216495,131.94845360824743
56.0,1,5,295.8333333333333,2.6666666666666665,58.0,727.6666666666666,166.33333333333334
56.0,2,1,320.625,2.5,51.75,530.9375,117.75
56.0,2,2,284.49101796407183,2.1467065868263475,55.78443113772455,415.00898203592817,135.42215568862275
