AverageFloorArea,Quarter,Property Type,EnergyUseAveragePerDwelling,LightingCostAveragePerDwelling,HeatingCostAveragePerDwelling,HotWaterCostAveragePerDwelling
7.0,1,4,179.5,46.0,239.5,95.0
7.0,2,2,116.0,5.0,25.0,10.0
7.0,2,4,151.0,72.5,274.0,91.5
7.0,3,2,137.0,34.0,285.0,95.0
7.0,3,4,134.2,58.0,240.4,97.2
7.0,4,4,186.66666666666666,44.666666666666664,264.3333333333333,118.0
8.0,1,2,157.0,24.5,111.0,49.5
8.0,2,4,150.75,47.0,238.75,76.25
8.0,3,4,119.5,65.0,270.0,92.0
8.0,4,2,171.33333333333334,34.333333333333336,175.66666666666666,65.66666666666667
8.0,4,4,145.33333333333334,58.333333333333336,213.0,72.66666666666667
9.0,1,2,235.0,35.0,250.0,218.0
9.0,1,3,100.0,16.0,55.0,18.0
9.0,1,4,139.6,65.2,239.2,97.6
9.0,2,2,209.0,57.0,312.0,88.0
9.0,3,4,142.0,41.5,230.5,63.5
9.0,4,2,162.0,33.333333333333336,125.66666666666667,69.66666666666667
9.0,4,4,176.5,49.0,214.5,68.0
10.0,1,2,239.0,22.0,146.0,75.0
10.0,1,4,172.0,52.666666666666664,252.16666666666666,79.66666666666667
10.0,2,2,204.0,54.0,234.5,139.5
10.0,3,4,153.0,59.0,291.5,79.5
10.0,4,2,131.5,48.5,207.0,76.0
10.0,4,4,162.85714285714286,46.57142857142857,204.28571428571428,70.85714285714286
11.0,1,2,169.0,36.666666666666664,278.6666666666667,64.0
11.0,1,4,156.66666666666666,61.333333333333336,261.6666666666667,86.33333333333333
11.0,2,2,130.0,7.0,52.0,16.0
11.0,4,2,155.4,28.4,132.6,72.6
11.0,4,4,155.33333333333334,73.33333333333333,277.3333333333333,88.33333333333333
12.0,1,2,161.5,26.5,124.0,59.25
12.0,1,4,151.66666666666666,50.333333333333336,235.0,81.33333333333333
12.0,3,2,153.0,37.0,107.0,167.0
12.0,3,4,188.0,37.0,271.0,113.0
12.0,4,2,159.0,30.0,129.25,50.75
12.0,4,4,149.66666666666666,39.333333333333336,201.0,68.0
13.0,1,2,188.33333333333334,42.0,155.0,119.33333333333333
13.0,1,4,168.33333333333334,51.0,252.66666666666666,77.0
13.0,2,2,104.0,42.0,148.0,96.0
13.0,2,4,137.0,46.5,225.5,59.5
13.0,4,2,164.5,31.5,151.0,70.5
13.0,4,4,167.16666666666666,44.0,219.16666666666666,67.16666666666667
14.0,1,1,128.0,10.0,44.0,15.0
14.0,1,2,97.5,42.5,203.0,90.0
14.0,2,1,143.0,10.0,71.0,21.0
14.0,2,2,120.0,36.333333333333336,158.33333333333334,63.666666666666664
14.0,3,2,130.0,28.0,206.0,63.0
14.0,4,2,181.33333333333334,29.5,140.0,87.5
14.0,4,4,162.8,62.4,235.4,86.4
15.0,1,2,149.0,43.5,179.66666666666666,86.16666666666667
15.0,1,4,125.0,72.0,184.0,76.0
15.0,2,2,159.0,28.0,137.5,44.0
15.0,3,4,116.0,62.0,266.0,101.0
15.0,4,2,154.6,34.6,132.8,48.6
15.0,4,4,135.0,15.0,37.0,16.0
16.0,1,2,146.66666666666666,25.666666666666668,111.33333333333333,51.666666666666664
16.0,1,3,144.0,15.0,60.0,15.0
16.0,1,4,202.5,73.5,304.5,159.0
16.0,3,2,124.5,36.5,149.5,71.0
16.0,3,4,163.0,56.0,268.0,83.0
16.0,4,2,184.33333333333334,50.0,199.16666666666666,123.0
16.0,4,4,138.0,55.5,238.0,87.0
17.0,1,2,146.0,40.0,203.0,72.8
17.0,1,4,140.0,57.0,237.0,71.0
17.0,2,2,124.0,34.0,173.0,85.0
17.0,2,4,265.0,58.0,248.0,157.0
17.0,3,2,208.0,25.5,165.0,82.5
17.0,4,2,174.8,40.4,162.2,74.0
18.0,1,2,152.28571428571428,37.0,160.71428571428572,101.14285714285714
18.0,2,2,238.0,13.0,139.0,40.0
18.0,2,4,179.0,63.0,289.0,82.0
18.0,3,2,97.0,34.0,211.0,73.0
18.0,3,4,135.0,101.0,337.0,115.0
18.0,4,1,156.0,13.0,68.0,22.0
18.0,4,2,170.14285714285714,46.0,186.28571428571428,101.42857142857143
19.0,1,2,154.0,37.0,151.0,54.5
19.0,1,4,136.5,56.5,211.5,75.5
19.0,2,2,173.5,33.0,137.0,92.5
19.0,3,2,127.0,24.0,126.0,59.0
19.0,4,2,186.2,41.6,164.4,98.6
19.0,4,3,146.0,17.0,64.0,22.0
19.0,4,4,144.0,44.0,196.0,71.0
20.0,1,2,164.5,31.833333333333332,168.0,84.5
20.0,1,4,125.0,35.0,213.0,76.0
20.0,2,1,260.0,18.0,205.0,77.0
20.0,2,2,134.5,41.0,219.5,95.5
20.0,2,4,160.0,42.0,209.0,74.0
20.0,3,2,159.0,36.0,165.5,76.0
20.0,4,2,201.55555555555554,39.55555555555556,188.33333333333334,122.55555555555556
20.0,4,4,173.25,39.5,194.25,103.0
21.0,1,2,192.66666666666666,38.888888888888886,211.44444444444446,111.33333333333333
21.0,1,4,155.5,46.0,242.5,79.5
21.0,2,1,155.0,16.0,82.0,25.0
21.0,2,2,149.5,42.5,165.5,78.0
21.0,3,1,250.0,17.0,191.0,51.0
21.0,3,2,181.0,21.0,118.0,83.0
21.0,3,4,138.0,45.0,236.0,80.0
21.0,4,1,213.5,17.0,140.5,42.0
21.0,4,2,164.75,41.75,177.25,105.25
22.0,1,1,226.0,16.0,221.0,55.0
22.0,1,2,165.57142857142858,35.57142857142857,185.71428571428572,91.0
22.0,1,4,140.66666666666666,42.0,214.0,98.0
22.0,2,1,174.5,17.5,128.5,44.5
22.0,2,2,214.0,23.0,130.0,134.0
22.0,2,4,149.0,41.0,190.0,78.5
22.0,3,2,168.0,35.0,191.5,76.0
22.0,4,1,202.66666666666666,22.666666666666668,173.33333333333334,86.0
22.0,4,2,163.1,39.6,169.1,97.2
22.0,4,4,242.0,56.0,336.0,124.0
23.0,1,1,193.5,24.5,163.5,62.0
23.0,1,2,226.0,46.0,179.66666666666666,113.66666666666667
23.0,1,3,116.0,21.0,66.0,23.0
23.0,1,4,162.0,38.333333333333336,174.66666666666666,106.33333333333333
23.0,2,1,196.0,24.0,165.0,76.0
23.0,2,2,136.0,46.0,268.0,76.0
23.0,2,4,174.8,37.8,236.8,96.4
23.0,3,1,188.0,26.0,45.0,198.0
23.0,3,2,162.0,32.4,144.8,122.2
23.0,3,4,141.0,62.0,258.0,85.0
23.0,4,1,190.0,25.0,161.0,62.0
23.0,4,2,179.0909090909091,40.72727272727273,177.8181818181818,87.81818181818181
23.0,4,4,135.0,45.0,197.0,72.0
24.0,1,2,150.92307692307693,40.84615384615385,182.76923076923077,73.92307692307692
24.0,1,4,213.0,40.0,142.0,100.0
24.0,2,1,155.0,17.0,93.0,31.0
24.0,2,2,173.33333333333334,29.333333333333332,156.66666666666666,122.33333333333333
24.0,2,4,148.5,43.0,203.0,80.5
24.0,3,1,181.33333333333334,24.333333333333332,174.0,69.0
24.0,3,2,115.0,43.0,203.5,57.5
24.0,3,4,120.0,45.333333333333336,234.0,72.33333333333333
24.0,4,1,151.0,20.0,188.0,48.0
24.0,4,2,148.88888888888889,40.666666666666664,158.77777777777777,89.0
24.0,4,4,170.6,41.8,233.8,78.8
25.0,1,1,173.0,27.0,160.0,61.0
25.0,1,2,138.0,38.0,158.4,124.0
25.0,1,3,199.5,28.5,178.5,55.0
25.0,1,4,160.0,32.0,180.5,54.5
25.0,2,1,208.0,25.333333333333332,187.66666666666666,65.0
25.0,2,2,129.5,31.5,117.0,66.5
25.0,3,2,169.5,31.5,185.0,87.5
25.0,3,4,155.0,26.0,160.0,47.0
25.0,4,1,173.0,26.0,160.0,63.0
25.0,4,2,179.2,39.4,180.4,82.7
25.0,4,4,209.0,47.0,210.5,101.5
26.0,1,2,157.83333333333334,40.416666666666664,188.08333333333334,88.91666666666667
26.0,1,3,144.0,44.0,264.5,65.5
26.0,1,4,135.0,49.0,224.0,91.16666666666667
26.0,2,2,169.8,36.8,222.4,88.4
26.0,2,4,202.5,48.5,205.0,162.5
26.0,3,1,244.5,26.5,246.0,77.5
26.0,3,2,191.0,43.333333333333336,249.33333333333334,118.33333333333333
26.0,4,2,162.08333333333334,38.916666666666664,188.83333333333334,79.08333333333333
26.0,4,4,179.6,47.4,282.8,105.8
27.0,1,2,145.44444444444446,39.888888888888886,173.88888888888889,90.11111111111111
27.0,2,1,180.0,24.0,176.0,58.0
27.0,2,2,193.66666666666666,42.333333333333336,189.33333333333334,103.83333333333333
27.0,2,4,176.0,29.0,256.0,79.0
27.0,3,2,145.0,24.75,133.75,84.5
27.0,3,4,179.0,61.0,374.0,73.0
27.0,4,2,165.0,42.857142857142854,198.85714285714286,102.85714285714286
27.0,4,4,156.5,39.75,213.0,62.25
28.0,1,1,187.0,20.0,323.0,0.0
28.0,1,2,156.33333333333334,39.53333333333333,195.8,86.93333333333334
28.0,1,4,98.0,37.5,202.5,57.5
28.0,2,1,219.0,30.0,213.0,58.0
28.0,2,2,178.0,34.42857142857143,189.42857142857142,73.57142857142857
28.0,3,1,241.0,29.0,220.0,79.0
28.0,3,2,203.75,25.75,165.25,83.25
28.0,3,4,261.0,34.0,263.0,97.0
28.0,4,2,154.5,40.5,170.16666666666666,79.66666666666667
28.0,4,3,139.0,40.0,132.0,42.0
28.0,4,4,147.0,30.5,164.5,55.5
29.0,1,1,243.0,30.0,214.0,139.0
29.0,1,2,153.9,41.9,210.8,74.0
29.0,1,3,124.0,34.0,134.0,41.0
29.0,1,4,173.5,63.0,346.0,86.5
29.0,2,1,231.0,21.0,200.0,55.0
29.0,2,2,177.5,45.5,214.5,103.0
29.0,3,1,155.33333333333334,21.0,206.33333333333334,69.66666666666667
29.0,3,2,149.5,29.0,165.16666666666666,75.66666666666667
29.0,3,4,128.0,33.0,84.0,117.0
29.0,4,1,177.0,21.0,218.66666666666666,77.66666666666667
29.0,4,2,160.35714285714286,42.07142857142857,186.0,85.21428571428571
29.0,4,3,138.0,36.0,122.0,40.0
29.0,4,4,125.5,58.5,229.5,103.0
30.0,1,1,281.0,21.0,174.0,122.0
30.0,1,2,172.92307692307693,42.23076923076923,202.3846153846154,95.15384615384616
30.0,1,4,150.5,44.0,226.5,79.5
30.0,2,1,178.0,25.0,122.0,134.0
30.0,2,2,154.25,35.75,178.5,102.75
30.0,2,4,135.5,57.75,234.25,84.75
30.0,3,1,153.0,27.0,171.0,54.0
30.0,3,2,214.14285714285714,36.0,206.42857142857142,115.71428571428571
30.0,3,4,164.75,58.75,231.25,99.25
30.0,4,2,170.6,39.266666666666666,178.66666666666666,96.46666666666667
30.0,4,4,142.0,43.0,178.0,69.0
31.0,1,1,175.0,20.0,167.5,97.5
31.0,1,2,143.9,35.8,187.0,72.8
31.0,1,4,150.0,37.5,182.0,133.5
31.0,2,1,206.5,27.0,204.0,62.0
31.0,2,2,179.0,43.0,208.0,128.8
31.0,2,4,167.0,40.5,251.0,96.0
31.0,3,1,196.0,31.0,212.0,168.0
31.0,3,2,175.0,36.666666666666664,204.66666666666666,83.0
31.0,4,2,179.8,35.4,205.3,77.8
31.0,4,4,123.33333333333333,44.0,202.66666666666666,84.0
32.0,1,1,161.25,25.25,167.5,40.25
32.0,1,2,182.55555555555554,35.833333333333336,212.33333333333334,88.61111111111111
32.0,1,4,132.6,50.2,232.8,85.4
32.0,2,1,132.0,19.0,197.0,43.0
32.0,2,2,163.0,35.2,197.0,95.4
32.0,2,4,154.0,37.333333333333336,206.66666666666666,71.0
32.0,3,1,162.66666666666666,27.666666666666668,167.66666666666666,73.33333333333333
32.0,3,2,180.4,30.4,207.5,99.2
32.0,3,3,90.0,67.0,271.0,77.0
32.0,3,4,160.0,42.0,320.0,102.0
32.0,4,1,190.75,28.0,198.25,66.75
32.0,4,2,173.41666666666666,40.833333333333336,196.08333333333334,91.66666666666667
32.0,4,3,133.0,44.0,119.0,51.0
32.0,4,4,199.6,45.4,283.6,103.4
33.0,1,1,162.5,23.0,253.0,57.5
33.0,1,2,184.66666666666666,39.333333333333336,209.66666666666666,121.44444444444444
33.0,1,4,147.0,28.0,171.0,62.0
33.0,2,1,200.66666666666666,28.666666666666668,207.66666666666666,115.33333333333333
33.0,2,2,212.375,32.875,231.625,95.625
33.0,2,4,139.33333333333334,46.666666666666664,202.33333333333334,97.0
33.0,3,1,181.0,27.8,296.0,87.4
33.0,3,2,167.22222222222223,31.11111111111111,202.44444444444446,77.0
33.0,3,4,179.0,29.5,217.0,66.0
33.0,4,1,159.66666666666666,24.333333333333332,219.66666666666666,62.666666666666664
33.0,4,2,192.72727272727272,34.36363636363637,238.9090909090909,98.9090909090909
33.0,4,4,110.0,53.0,177.0,66.0
34.0,1,1,137.0,26.5,291.0,65.5
34.0,1,2,177.9,36.3,232.4,80.4
34.0,1,4,153.6,39.2,231.0,85.2
34.0,2,2,188.42857142857142,37.42857142857143,219.92857142857142,94.14285714285714
34.0,2,4,181.66666666666666,49.0,240.66666666666666,109.16666666666667
34.0,3,1,201.0,28.75,203.5,91.25
34.0,3,2,171.6,36.6,223.4,82.4
34.0,3,4,129.0,54.0,226.0,147.0
34.0,4,1,145.5,27.5,204.0,85.0
34.0,4,2,169.2,39.333333333333336,204.06666666666666,90.4
34.0,4,3,137.75,38.5,121.75,43.5
34.0,4,4,194.5,35.25,227.75,89.0
35.0,1,1,184.33333333333334,28.333333333333332,205.0,91.66666666666667
35.0,1,2,169.0,38.411764705882355,208.05882352941177,98.76470588235294
35.0,1,3,138.0,46.0,175.0,60.0
35.0,1,4,135.75,41.75,232.5,92.0
35.0,2,1,198.5,26.5,217.5,69.5
35.0,2,2,177.84615384615384,36.0,204.15384615384616,98.84615384615384
35.0,2,4,171.0,48.0,254.0,78.0
35.0,3,1,104.5,29.5,269.5,50.0
35.0,3,2,164.88888888888889,30.22222222222222,198.33333333333334,70.88888888888889
35.0,3,4,186.25,37.0,209.5,75.75
35.0,4,1,194.0,29.666666666666668,227.66666666666666,78.0
35.0,4,2,175.21428571428572,38.142857142857146,199.35714285714286,111.07142857142857
35.0,4,3,138.5,32.5,120.0,41.0
35.0,4,4,126.0,66.0,364.0,78.0
36.0,1,1,160.0,26.5,195.25,59.0
36.0,1,2,170.44444444444446,35.55555555555556,216.16666666666666,97.66666666666667
36.0,1,4,124.66666666666667,35.166666666666664,243.0,77.66666666666667
36.0,2,1,175.66666666666666,30.0,189.0,126.0
36.0,2,2,178.2,33.8,192.4,131.6
36.0,2,4,165.5,29.0,230.5,68.5
36.0,3,1,132.0,27.0,185.0,68.0
36.0,3,2,187.2,35.7,228.3,95.1
36.0,3,4,122.0,33.0,169.0,53.0
36.0,4,1,131.0,26.0,199.0,68.5
36.0,4,2,170.85,37.2,215.25,96.15
36.0,4,4,139.5,42.666666666666664,211.5,91.33333333333333
37.0,1,1,195.66666666666666,31.333333333333332,235.66666666666666,83.66666666666667
37.0,1,2,155.25,38.25,221.9,96.1
37.0,1,3,114.0,38.0,133.0,35.0
37.0,1,4,141.2,44.6,231.8,111.6
37.0,2,1,164.66666666666666,32.666666666666664,211.11111111111111,76.11111111111111
37.0,2,2,206.9090909090909,37.0,215.54545454545453,119.0909090909091
37.0,2,3,206.0,20.0,156.0,151.0
37.0,2,4,109.0,27.0,166.0,63.0
37.0,3,1,183.5,27.0,241.5,118.75
37.0,3,2,174.41666666666666,36.5,222.75,98.66666666666667
37.0,3,4,199.5,53.0,281.0,117.5
37.0,4,1,162.16666666666666,30.0,225.5,102.83333333333333
37.0,4,2,180.73684210526315,36.94736842105263,193.26315789473685,97.36842105263158
37.0,4,3,128.0,39.0,130.0,47.0
37.0,4,4,132.5,47.5,208.5,76.0
38.0,1,1,206.66666666666666,35.333333333333336,273.3333333333333,112.33333333333333
38.0,1,2,181.11111111111111,40.77777777777778,210.5,99.38888888888889
38.0,1,3,89.0,49.0,247.0,82.0
38.0,1,4,181.33333333333334,50.666666666666664,317.6666666666667,96.0
38.0,2,1,184.25,34.5,204.75,77.0
38.0,2,2,191.88888888888889,34.5,227.16666666666666,106.5
38.0,2,4,176.25,43.875,259.625,106.5
38.0,3,1,187.0,31.0,218.0,66.0
38.0,3,2,183.69230769230768,33.53846153846154,219.53846153846155,112.76923076923077
38.0,3,4,122.0,57.0,250.0,77.0
38.0,4,1,158.0,33.5,236.0,62.5
38.0,4,2,179.84,37.12,213.44,107.48
38.0,4,3,134.0,57.0,213.0,75.0
38.0,4,4,167.5,39.75,270.25,92.0
39.0,1,1,204.0,27.5,248.5,90.0
39.0,1,2,182.9375,36.875,221.4375,103.9375
39.0,1,3,136.5,55.5,198.5,69.5
39.0,1,4,114.0,51.666666666666664,226.33333333333334,85.0
39.0,2,1,235.66666666666666,34.333333333333336,233.33333333333334,117.33333333333333
39.0,2,2,173.9090909090909,33.54545454545455,212.72727272727272,111.45454545454545
39.0,2,4,157.6,45.0,252.4,126.2
39.0,3,1,189.14285714285714,30.714285714285715,228.71428571428572,99.42857142857143
39.0,3,2,164.94736842105263,37.8421052631579,210.73684210526315,104.15789473684211
39.0,3,4,127.66666666666667,60.333333333333336,208.0,75.0
39.0,4,1,164.5,35.25,248.0,94.5
39.0,4,2,172.52941176470588,38.88235294117647,191.23529411764707,103.11764705882354
39.0,4,3,128.0,53.0,247.0,77.0
39.0,4,4,199.25,33.25,207.5,139.25
40.0,1,1,148.0,33.333333333333336,162.0,136.66666666666666
40.0,1,2,187.84,38.52,242.36,101.88
40.0,1,3,115.0,84.0,254.0,100.0
40.0,1,4,134.0,49.25,224.5,119.75
40.0,2,1,193.6,37.6,257.4,101.6
40.0,2,2,210.69230769230768,38.30769230769231,257.53846153846155,127.15384615384616
40.0,3,1,214.25,32.25,376.5,124.25
40.0,3,2,173.11111111111111,39.55555555555556,211.77777777777777,111.33333333333333
40.0,3,4,143.0,53.6,251.2,78.6
40.0,4,1,163.6,33.4,252.0,84.6
40.0,4,2,181.86363636363637,38.77272727272727,227.8181818181818,103.18181818181819
40.0,4,4,192.28571428571428,39.42857142857143,190.85714285714286,114.0
41.0,1,1,178.71428571428572,31.428571428571427,272.57142857142856,92.71428571428571
41.0,1,2,183.04347826086956,38.82608695652174,247.7826086956522,111.8695652173913
41.0,1,3,136.0,66.0,271.0,92.0
41.0,1,4,176.0,41.833333333333336,240.5,98.0
41.0,2,1,165.33333333333334,31.0,210.0,64.33333333333333
41.0,2,2,180.25,38.25,235.08333333333334,112.08333333333333
41.0,2,4,125.0,43.0,207.75,88.5
41.0,3,1,180.9,31.6,254.5,97.2
41.0,3,2,169.875,35.958333333333336,221.33333333333334,103.375
41.0,3,4,119.75,38.0,194.25,103.5
41.0,4,1,170.5,36.0,217.25,105.0
41.0,4,2,168.07142857142858,38.214285714285715,224.89285714285714,98.92857142857143
41.0,4,3,119.5,50.0,195.5,68.5
41.0,4,4,142.5,38.0,203.0,60.0
42.0,1,1,181.875,37.25,244.375,80.25
42.0,1,2,182.24137931034483,38.3448275862069,247.6551724137931,110.34482758620689
42.0,1,3,116.0,72.0,221.0,90.5
42.0,1,4,134.4,31.6,209.8,86.2
42.0,2,1,137.5,31.0,250.5,112.5
42.0,2,2,183.33333333333334,34.875,231.0,103.45833333333333
42.0,2,4,155.42857142857142,47.57142857142857,234.14285714285714,101.71428571428571
42.0,3,1,218.5,34.75,215.25,101.0
42.0,3,2,174.8709677419355,37.806451612903224,255.96774193548387,104.70967741935483
42.0,3,4,127.28571428571429,44.142857142857146,217.28571428571428,72.42857142857143
42.0,4,1,196.0,33.25,225.25,81.25
42.0,4,2,165.26315789473685,37.23684210526316,225.05263157894737,95.86842105263158
42.0,4,3,144.0,63.0,222.0,91.0
42.0,4,4,146.5,39.0,205.5,89.66666666666667
43.0,1,1,154.16666666666666,33.166666666666664,219.33333333333334,77.5
43.0,1,2,175.0625,40.4375,250.53125,109.65625
43.0,1,3,129.0,40.0,147.0,54.0
43.0,1,4,109.8,43.2,203.0,70.6
43.0,2,1,172.25,30.5,238.875,112.875
43.0,2,2,172.68965517241378,37.55172413793103,217.93103448275863,119.41379310344827
43.0,2,4,155.28571428571428,42.0,234.28571428571428,103.71428571428571
43.0,3,1,167.5,31.25,262.25,76.75
43.0,3,2,167.95238095238096,36.61904761904762,225.0,102.76190476190476
43.0,3,4,175.66666666666666,39.666666666666664,254.55555555555554,84.66666666666667
43.0,4,1,222.0,38.0,345.0,68.0
43.0,4,2,183.6153846153846,37.30769230769231,238.34615384615384,104.5
43.0,4,3,137.0,49.0,203.0,77.0
43.0,4,4,148.5,42.875,221.375,67.5
44.0,1,1,177.57142857142858,37.714285714285715,287.42857142857144,96.0
44.0,1,2,172.80555555555554,39.47222222222222,254.55555555555554,108.02777777777777
44.0,1,3,148.5,61.0,226.5,81.5
44.0,1,4,130.88888888888889,39.77777777777778,209.88888888888889,64.0
44.0,2,1,125.85714285714286,31.857142857142858,215.85714285714286,77.28571428571429
44.0,2,2,161.5681818181818,36.45454545454545,216.4318181818182,91.61363636363636
44.0,2,4,153.22222222222223,41.888888888888886,220.22222222222223,102.11111111111111
44.0,3,1,178.25,35.5,260.125,86.875
44.0,3,2,170.68421052631578,36.68421052631579,235.47368421052633,103.71052631578948
44.0,3,4,134.66666666666666,41.666666666666664,209.66666666666666,81.0
44.0,4,1,145.15384615384616,35.46153846153846,231.69230769230768,82.0
44.0,4,2,166.58333333333334,41.416666666666664,251.33333333333334,107.44444444444444
44.0,4,3,124.66666666666667,67.66666666666667,227.0,88.66666666666667
44.0,4,4,156.3846153846154,38.23076923076923,217.6153846153846,79.76923076923077
45.0,1,1,190.66666666666666,33.166666666666664,267.5,120.0
45.0,1,2,163.73170731707316,39.5609756097561,221.65853658536585,104.6829268292683
45.0,1,3,97.0,75.0,211.0,93.0
45.0,1,4,125.83333333333333,58.166666666666664,240.66666666666666,81.16666666666667
45.0,2,1,130.0,33.2,187.2,80.4
45.0,2,2,181.19354838709677,38.0,256.80645161290323,112.74193548387096
45.0,2,4,173.0,35.57142857142857,230.42857142857142,108.0
45.0,3,1,179.5,36.0,260.75,90.75
45.0,3,2,171.675,38.1,235.425,110.6
45.0,3,4,170.8,41.0,250.6,73.4
45.0,4,1,168.5,31.25,241.5,103.0
45.0,4,2,170.23809523809524,39.61904761904762,246.21428571428572,102.52380952380952
45.0,4,3,145.0,52.0,192.5,87.0
45.0,4,4,137.0,44.75,209.83333333333334,83.08333333333333
46.0,1,1,131.0,33.375,232.625,89.5
46.0,1,2,160.4915254237288,41.355932203389834,230.79661016949152,102.55932203389831
46.0,1,3,120.0,68.0,224.0,91.0
46.0,1,4,154.58823529411765,48.11764705882353,244.76470588235293,85.0
46.0,2,1,163.125,36.0,263.9375,97.1875
46.0,2,2,175.37777777777777,39.17777777777778,252.2888888888889,109.84444444444445
46.0,2,4,158.76470588235293,44.05882352941177,257.05882352941177,82.11764705882354
46.0,3,1,136.0,36.42857142857143,217.71428571428572,68.42857142857143
46.0,3,2,164.09302325581396,41.55813953488372,238.72093023255815,107.09302325581395
46.0,3,4,165.66666666666666,43.166666666666664,257.94444444444446,86.22222222222223
46.0,4,1,140.125,33.625,208.625,96.25
46.0,4,2,167.52083333333334,41.958333333333336,240.9375,107.75
46.0,4,3,132.0,66.0,223.33333333333334,81.66666666666667
46.0,4,4,149.89473684210526,43.421052631578945,235.47368421052633,71.05263157894737
47.0,1,1,181.125,34.0,296.625,107.875
47.0,1,2,153.3783783783784,40.0,227.67567567567568,99.35135135135135
47.0,1,3,110.5,62.0,232.25,84.75
47.0,1,4,119.1,39.6,213.5,69.3
47.0,2,1,161.11111111111111,39.22222222222222,216.77777777777777,109.0
47.0,2,2,170.06976744186048,40.906976744186046,237.69767441860466,106.74418604651163
47.0,2,4,156.33333333333334,39.166666666666664,284.3333333333333,87.33333333333333
47.0,3,1,175.33333333333334,38.666666666666664,223.66666666666666,74.0
47.0,3,2,164.984375,39.765625,232.34375,107.796875
47.0,3,4,135.8,42.6,206.8,84.6
47.0,4,1,152.125,36.375,255.625,90.125
47.0,4,2,173.0487804878049,40.53658536585366,249.70731707317074,109.26829268292683
47.0,4,3,126.0,59.5,211.5,79.25
47.0,4,4,148.71428571428572,45.57142857142857,250.14285714285714,87.0
48.0,1,1,138.1,40.5,225.8,84.5
48.0,1,2,158.69230769230768,41.53846153846154,228.26373626373626,108.5934065934066
48.0,1,4,135.73684210526315,41.473684210526315,221.73684210526315,76.6842105263158
48.0,2,1,122.55555555555556,38.77777777777778,217.66666666666666,86.11111111111111
48.0,2,2,154.4418604651163,41.46511627906977,224.7674418604651,101.37209302325581
48.0,2,4,142.1764705882353,39.294117647058826,218.11764705882354,101.82352941176471
48.0,3,1,158.875,46.75,283.0,97.875
48.0,3,2,159.45569620253164,39.949367088607595,243.49367088607596,105.35443037974683
48.0,3,4,121.36363636363636,45.36363636363637,208.0909090909091,91.45454545454545
48.0,4,1,171.14285714285714,34.0,213.85714285714286,68.0
48.0,4,2,155.27692307692308,40.276923076923076,227.09230769230768,97.73846153846154
